2025-11-25 16:45:17.594+0100 | main | INFO  | Besu | Starting Besu
2025-11-25 16:45:17.744+0100 | main | WARN  | Besu | --sync-min-peers is ignored in FULL sync-mode
2025-11-25 16:45:17.921+0100 | main | INFO  | Besu | Connecting to 0 static nodes.
2025-11-25 16:45:17.937+0100 | main | WARN  | Besu | Forcing price bump for transaction replacement to 0, since we are on a zero basefee network
2025-11-25 16:45:17.939+0100 | main | WARN  | Besu | Forcing price bump for transaction replacement to 0, since min-gas-price is set to 0
2025-11-25 16:45:17.944+0100 | main | WARN  | Besu | Forcing tx-pool-min-gas-price=0, since it cannot be greater than the value of min-gas-price
2025-11-25 16:45:18.091+0100 | main | INFO  | Besu | 
####################################################################################################
#                                                                                                  #
# Besu version 25.9.0                                                                              #
#                                                                                                  #
# Configuration:                                                                                   #
# Network: Custom genesis file                                                                     #
# /home/mac/Desktop/IBFT-Network/Node-4/../genesis.json                                            #
# Network Id: 1337                                                                                 #
# Profile: ENTERPRISE                                                                              #
# Data storage: Forest                                                                             #
# Sync mode: Full                                                                                  #
# Sync min peers: 1                                                                                #
# RPC HTTP APIs: ETH,NET,IBFT,ADMIN                                                                #
# RPC HTTP port: 8548                                                                              #
# Using SEQUENCED transaction pool implementation                                                  #
# Using STACKED worldstate update mode                                                             #
# Parallel transaction processing enabled                                                          #
# Target Gas Limit: 45M                                                                            #
#                                                                                                  #
# Host:                                                                                            #
# Java: openjdk-java-21                                                                            #
# Maximum heap size: 1.87 GB                                                                       #
# OS: linux-x86_64                                                                                 #
# glibc: 2.35                                                                                      #
# jemalloc: 5.2.1-0-gea6b3e973b477b8061e0076bb257dbd7f3faa756                                      #
# Total memory: 7.46 GB                                                                            #
# CPU cores: 8                                                                                     #
#                                                                                                  #
# Plugin Registration Summary:                                                                     #
# No plugins have been registered.                                                                 #
# TOTAL = 0 of 0 plugins successfully registered.                                                  #
#                                                                                                  #
####################################################################################################
2025-11-25 16:45:18.093+0100 | main | INFO  | Besu | Security Module: localfile
2025-11-25 16:45:18.097+0100 | main | INFO  | VersionMetadata | Lookup version metadata file in data directory: /home/mac/Desktop/IBFT-Network/Node-4/data
2025-11-25 16:45:18.288+0100 | main | INFO  | VersionMetadata | Existing version data detected. Besu version 25.9.0
2025-11-25 16:45:18.335+0100 | main | INFO  | Besu | Using the native implementation of alt bn128
2025-11-25 16:45:18.338+0100 | main | INFO  | Besu | Using the Java implementation of modexp
2025-11-25 16:45:18.339+0100 | main | INFO  | Besu | Using the native implementation of the signature algorithm
2025-11-25 16:45:18.345+0100 | main | INFO  | Besu | Using the native implementation of the blake2bf algorithm
2025-11-25 16:45:18.432+0100 | main | INFO  | Besu | Using the native BoringSSL implementation of p256verify
